Analyzing cut site: G|GATCC 
Total cut sites found: 261 
Cut site pairs 80-120 kbp apart: 2413 
1. 5340 - 89198 
2. 5340 - 95201 
3. 5340 - 101612 
4. 5340 - 103104 
5. 5340 - 107716 
6. 5340 - 122336 
7. 5340 - 123568 
8. 10230 - 95201 
9. 10230 - 101612 
10. 10230 - 103104 
11. 10230 - 107716 
12. 10230 - 122336 
13. 10230 - 123568 
14. 12676 - 95201 
15. 12676 - 101612 
16. 12676 - 103104 
17. 12676 - 107716 
18. 12676 - 122336 
19. 12676 - 123568 
20. 12676 - 130479 
21. 13315 - 95201 
22. 13315 - 101612 
23. 13315 - 103104 
24. 13315 - 107716 
25. 13315 - 122336 
26. 13315 - 123568 
27. 13315 - 130479 
28. 13315 - 132783 
29. 13610 - 95201 
30. 13610 - 101612 
31. 13610 - 103104 
32. 13610 - 107716 
33. 13610 - 122336 
34. 13610 - 123568 
35. 13610 - 130479 
36. 13610 - 132783 
37. 13841 - 95201 
38. 13841 - 101612 
39. 13841 - 103104 
40. 13841 - 107716 
41. 13841 - 122336 
42. 13841 - 123568 
43. 13841 - 130479 
44. 13841 - 132783 
45. 15207 - 101612 
46. 15207 - 103104 
47. 15207 - 107716 
48. 15207 - 122336 
49. 15207 - 123568 
50. 15207 - 130479 
51. 15207 - 132783 
52. 15504 - 101612 
53. 15504 - 103104 
54. 15504 - 107716 
55. 15504 - 122336 
56. 15504 - 123568 
57. 15504 - 130479 
58. 15504 - 132783 
59. 16519 - 101612 
60. 16519 - 103104 
61. 16519 - 107716 
62. 16519 - 122336 
63. 16519 - 123568 
64. 16519 - 130479 
65. 16519 - 132783 
66. 17330 - 101612 
67. 17330 - 103104 
68. 17330 - 107716 
69. 17330 - 122336 
70. 17330 - 123568 
71. 17330 - 130479 
72. 17330 - 132783 
73. 17927 - 101612 
74. 17927 - 103104 
75. 17927 - 107716 
76. 17927 - 122336 
77. 17927 - 123568 
78. 17927 - 130479 
79. 17927 - 132783 
80. 18869 - 101612 
81. 18869 - 103104 
82. 18869 - 107716 
83. 18869 - 122336 
84. 18869 - 123568 
85. 18869 - 130479 
86. 18869 - 132783 
87. 19772 - 101612 
88. 19772 - 103104 
89. 19772 - 107716 
90. 19772 - 122336 
91. 19772 - 123568 
92. 19772 - 130479 
93. 19772 - 132783 
94. 24643 - 107716 
95. 24643 - 122336 
96. 24643 - 123568 
97. 24643 - 130479 
98. 24643 - 132783 
99. 24643 - 142798 
100. 24643 - 143330 
101. 30881 - 122336 
102. 30881 - 123568 
103. 30881 - 130479 
104. 30881 - 132783 
105. 30881 - 142798 
106. 30881 - 143330 
107. 30881 - 145231 
108. 30881 - 148457 
109. 34428 - 122336 
110. 34428 - 123568 
111. 34428 - 130479 
112. 34428 - 132783 
113. 34428 - 142798 
114. 34428 - 143330 
115. 34428 - 145231 
116. 34428 - 148457 
117. 34428 - 153149 
118. 34778 - 122336 
119. 34778 - 123568 
120. 34778 - 130479 
121. 34778 - 132783 
122. 34778 - 142798 
123. 34778 - 143330 
124. 34778 - 145231 
125. 34778 - 148457 
126. 34778 - 153149 
127. 37561 - 122336 
128. 37561 - 123568 
129. 37561 - 130479 
130. 37561 - 132783 
131. 37561 - 142798 
132. 37561 - 143330 
133. 37561 - 145231 
134. 37561 - 148457 
135. 37561 - 153149 
136. 37814 - 122336 
137. 37814 - 123568 
138. 37814 - 130479 
139. 37814 - 132783 
140. 37814 - 142798 
141. 37814 - 143330 
142. 37814 - 145231 
143. 37814 - 148457 
144. 37814 - 153149 
145. 38955 - 122336 
146. 38955 - 123568 
147. 38955 - 130479 
148. 38955 - 132783 
149. 38955 - 142798 
150. 38955 - 143330 
151. 38955 - 145231 
152. 38955 - 148457 
153. 38955 - 153149 
154. 39194 - 122336 
155. 39194 - 123568 
156. 39194 - 130479 
157. 39194 - 132783 
158. 39194 - 142798 
159. 39194 - 143330 
160. 39194 - 145231 
161. 39194 - 148457 
162. 39194 - 153149 
163. 39194 - 159075 
164. 42056 - 122336 
165. 42056 - 123568 
166. 42056 - 130479 
167. 42056 - 132783 
